Time,EGF_conc_step,EGF_conc_impulse,EGF_conc_ramp,pulse_time,ramp_time,pEGFR_tot,pEGFR_tot_std,pAkt_tot,pAkt_tot_std,pS6_tot,pS6_tot_std
0,0,0,30,60,3600,0,0.01,0,0.01,0,0.01
60,0,0,30,60,3600,0.093681,0.02,0.076475,0.03,0.0073475,0.01
120,0,0,30,60,3600,0.36107,0.04,0.71816,0.08,0.0073576,0.01
300,0,0,30,60,3600,0.35727,0.07,0.92561,0.02,0.040658,0.01
600,0,0,30,60,3600,0.2954,0.01,0.33126,0.015,0.45562,0.03
900,0,0,30,60,3600,0.27534,0.1,0.21528,0.02,0.69258,0.1
1200,0,0,30,60,3600,0.16059,0.06,0.15455,0.02,0.77084,0.08
1800,0,0,30,60,3600,0.097713,0.02,0.086407,0.01,0.75806,0.03
2400,0,0,30,60,3600,0.054481,0.04,0.077026,0.016,0.63953,0.02
3000,0,0,30,60,3600,0.053056,0.02,0.062707,0.01,0.55656,0.05
3600,0,0,30,60,3600,0.061882,0.02,0.06477,0.02,0.47656,0.07
