Time,EGF_conc_step,EGF_conc_impulse,EGF_conc_ramp,pulse_time,ramp_time,pEGFR_tot,pEGFR_tot_std,pAkt_tot,pAkt_tot_std,pS6_tot,pS6_tot_std
0,0,0,3,60,3600,0,0.01,0,0.01,0,0.01
60,0,0,3,60,3600,0.029744,0.01,0.020959,0.01,0.0017692,0.01
120,0,0,3,60,3600,0.032073,0.02,0.062158,0.01,0.004848,0.01
300,0,0,3,60,3600,0.082058,0.035,0.55794,0.06,0.011932,0.01
600,0,0,3,60,3600,0.16835,0.02,0.38964,0.06,0.1948,0.03
900,0,0,3,60,3600,0.23686,0.07,0.39174,0.04,0.54295,0.075
1200,0,0,3,60,3600,0.15768,0.05,0.33611,0.05,0.72213,0.1
1800,0,0,3,60,3600,0.12072,0.03,0.24727,0.02,0.80508,0.03
2400,0,0,3,60,3600,0.087695,0.02,0.16476,0.02,0.79474,0.06
3000,0,0,3,60,3600,0.087887,0.01,0.11159,0.01,0.74727,0.06
3600,0,0,3,60,3600,0.070846,0.01,0.1007,0.01,0.66678,0.06
